GEOID,latino_pop,total_pop
17135,587,28288
17137,838,32915
17139,194,14526
17141,5797,51788
17143,10091,181830
17145,714,20945
17147,247,16673
17149,262,14739
17151,71,3763
17153,204,5193
17155,348,5637
17157,1031,30163
17159,273,15813
17161,19842,144672
17163,12582,257400
17165,473,23768
17167,5309,196343
17169,152,6902
17171,48,4949
17173,213,20990
17175,132,5400
17177,2254,44630
17179,3161,131343
17181,867,17244
17183,3816,74188
17185,178,11361
17187,1789,16835
17189,224,13761
17191,182,16179
17193,188,13877
17195,7131,55691
17197,130851,696355
17199,1779,67153
17201,40952,285350
17203,740,38467
18001,1637,35809
18003,32923,385410
18005,7257,82208
18007,629,8719
18009,252,12112
18011,2775,70812
18013,270,15475
18015,823,20306
18017,6675,37870
18019,7891,121093
18021,460,26466
18023,6142,33190
18025,121,10526
18027,2103,33381
18029,724,50679
18031,614,26472
18033,1185,43265
18035,3533,111903
18037,4146,43637
18039,39594,207047
18041,273,23398
18043,3082,80484
18045,412,16479
18047,219,22785
18049,1068,20480
18051,680,33011
18053,3412,66674
18055,551,30803
18057,18106,347467
18059,2202,79840
18061,928,39654
18063,8056,174788
18065,977,48914
18067,3060,83658
18069,1050,36662
18071,6251,46428
18073,2342,32918
18075,944,20478
18077,1111,33147
18079,859,27613
18081,6394,161765
18083,1005,36282
18085,7492,80240
18087,1733,40446
18089,99927,498700
18091,7985,112417
18093,765,45011
18095,6263,130129
18097,129286,977203
18099,5251,46095
18101,92,9812
18103,1186,35962
18105,6358,139718
18107,2281,37936
18109,1274,71780
18111,1039,13830
18113,5250,47457
18115,79,5940
18117,305,19867
18119,297,21321
18121,225,16156
18123,220,19170
18125,180,12250
18127,18904,173215
18129,375,25222
18131,458,12514
18133,784,36726
18135,1156,24502
18137,541,28995
18139,252,16752
18141,26576,272912
18143,535,24384
18145,2377,45055
18147,676,19810
18149,902,23371
18151,1427,34435
18153,334,20817
18155,114,9737
18157,18647,186251
18159,434,15359
18161,74,7087
18163,6313,180136
18165,168,15439
18167,3239,106153
18169,897,30976
18171,193,8440
18173,1383,63898
18175,400,28182
18177,2495,66553
18179,1019,28180
18181,2453,24688
18183,841,34191
19001,186,7496
19003,42,3704
19005,1221,14061
19007,231,12317
19009,86,5674
19011,462,25575
19013,6448,131144
19015,709,26715
19017,511,24988
19019,338,20565
19021,5925,20823
19023,183,14334
19025,236,9927
19027,594,20760
19029,306,13127
19031,462,18505
19033,2243,43127
19035,530,11658
19037,481,12012
19039,1534,9748
19041,704,16384
19043,343,17043
19045,1539,46460
19047,4912,16525
19049,6515,99678
19051,144,9110
19053,211,7645
19055,244,17488
19057,1245,38910
19059,406,17703
19061,2977,99266
19063,887,9388
19065,520,19509
19067,550,15627
19069,1634,10019
19071,190,6605
19073,256,8771
19075,145,12329
19077,274,10623
19079,1465,15039
19081,614,10795
19083,818,16878
19085,293,14582
19087,1083,20482
19089,258,9469
19091,430,9597
19093,255,7005
19095,495,16662
19097,237,19485
19099,1087,37813
19101,610,15663
19103,10198,152854
19105,497,20646
19107,215,10033
19109,603,14828
19111,1110,33555
19113,8911,230299
19115,1728,10837
19117,198,8634
19119,407,11934
19121,316,16548
19123,480,22190
19125,700,33414
19127,9140,40105
19129,461,14484
19131,193,10565
19133,236,8751
19135,117,7577
19137,371,10330
19139,7769,43235
19141,985,14182
19143,603,6192
19145,464,15211
19147,274,8996
19149,1496,25698
19151,354,7078
19153,48055,492401
19155,7660,93667
19157,529,18662
19159,71,4663
19161,354,9814
19163,12092,174669
19165,412,11746
19167,4914,35872
19169,5032,98537
19171,1804,17135
19173,399,5896
19175,399,12138
19177,114,7203
19179,4332,35437
19181,1658,52403
19183,1612,22565
19185,61,6497
19187,2063,36999
19189,594,10679
19191,585,20070
19193,18746,105941
19195,211,7443
19197,2394,12943
20001,502,12526
20003,155,7836
20005,583,16348
20007,162,4228
20009,4127,25493
20011,386,14360
20013,352,9508
20015,3578,67380
20017,222,2572
20019,138,3379
20021,514,19362
20023,238,2616
20025,203,1991
20027,218,8117
20029,319,9032
20031,221,8360
20033,98,1689
20035,3971,34549
20037,2716,38972
20039,76,2764
20041,905,18402
20043,204,7510
20045,8295,118785
20047,623,2907
20049,101,2483
20051,2016,28934
20053,365,6376
20055,19883,38470
20057,19666,34287
20059,1147,25996
20061,5776,36739
20063,83,2718
20065,62,2415
20067,3862,7352
20069,839,5653
20071,199,1284
20073,204,6016
20075,1084,2518
20077,425,5485
20079,4055,34024
20081,1119,3780
20083,96,1723
20085,630,13232
20087,567,18368
20089,62,2932
20091,54389,609863
20093,1396,3983
20095,268,7470
20097,87,2460
20099,939,20184
20101,143,1574
20103,5602,81881
20105,130,2939
20107,238,9591
20109,195,2762
20111,7256,32179
20113,1592,30223
20115,442,11823
20117,227,10038
20119,797,4055
20121,1196,34191
20123,157,5796
20125,2414,31486
20127,227,5386
20129,591,2701
20131,266,10273
20133,910,15904
20135,305,2687
20137,311,5459
20139,457,15766
20141,66,3500
20143,144,5735
20145,522,6253
20147,142,4981
20149,1429,25348
20151,741,9157
20153,159,2561
20155,6096,61898
20157,91,4674
20159,1290,9427
20161,7470,71959
20163,116,4919
20165,132,2956
20167,236,6691
20169,6642,54303
20171,1027,5151
20173,82630,523824
20175,14406,21964
20177,23861,178909
20179,145,2447
20181,773,5927
20183,67,3570
20185,503,4072
20187,909,2084
20189,2020,5250
20191,1254,22382
20193,632,7930
20195,64,2808
20197,317,6877
20199,80,1512
20201,275,5530
20203,636,2152
20205,261,8624
20207,71,3115
20209,55814,169245
21001,643,18903
21003,574,20588
21005,521,23852
21007,93,7728
21009,1889,44485
21011,182,12750
21013,244,24097
21015,7707,135968
21017,1486,20252
21019,714,48261
21021,1490,30614
21023,90,8400
21025,93,13718
21027,284,20432
21029,2117,82217
21031,592,12371
21033,198,12649
21035,1353,37103
21037,2309,93076
21039,133,4826
21041,795,10810
21043,254,26627
21045,539,15941
21047,5752,72748
21049,1477,36972
21051,353,20345
21053,245,9253
21055,113,8990
21057,77,5888
21059,4145,103312
21061,156,12126
21063,91,7354
21065,131,14163
21067,29750,322570
21069,218,15082
21071,308,35942
21073,2047,51541
21075,151,6515
21077,492,8690
21079,451,16953
21081,741,24941
21083,2773,36649
21085,364,26420
21087,199,11107
21089,317,35962
21091,162,9095
21093,6695,110702
21095,265,26831
21097,387,18692
21099,334,19288
21101,1368,44793
21103,545,15678
21105,102,4521
21107,1126,45423
21109,96,12955
21111,59021,782969
21113,2384,52991
21115,198,22680
21117,7741,169064
21119,90,14251
21121,347,30193
21123,479,14867
21125,1011,62613
21127,148,16293
21129,60,7395
21131,72,10513
21133,133,21548
21135,83,13080
21137,475,24275
21139,186,8888
21141,853,27432
21143,152,8680
21145,2135,67875
21147,365,16888
21149,164,9152
21151,3064,92701
21153,66,11637
21155,681,19581
21157,539,31659
21159,290,11287
21161,356,17120
21163,1133,30003
21165,57,6113
21167,703,22641
21169,230,10286
21171,473,11338
21173,925,28114
21175,417,13726
21177,569,30928
21179,1214,46738
21181,154,7537
21183,993,23772
21185,3235,67607
21187,251,11278
21189,42,4051
21191,201,14644
21193,221,28473
21195,695,58669
21197,197,13129
21199,1877,65034
21201,19,2193
21203,172,16037
21205,541,24662
21207,781,17991
21209,3103,57155
21211,5295,48065
21213,648,19594
21215,450,19490
21217,720,26023
21219,598,12243
21221,317,14061
21223,192,8474
21225,188,13668
21227,9441,134554
21229,470,12027
21231,902,19555
21233,845,13017
21235,687,36712
21237,61,6562
21239,2013,26871
22001,1641,57576
22003,1893,22750
22005,10383,126500
22007,914,21039
22009,1485,39693
22011,1271,36549
22013,211,12981
22015,10237,128746
22017,8381,237848
22019,11384,216785
22021,221,9645
22023,197,5617
22025,614,8906
22027,479,14170
22029,459,18687
22031,762,26812
22033,30551,456781
22035,115,7459
22037,391,19539
22039,1336,32350
22041,276,19774
22043,1333,22169
22045,3897,69929
22047,1418,30241
22049,468,15031
22051,79057,440781
22053,734,32250
22055,15983,241753
22057,5672,97557
22059,1402,14791
22061,1754,48396
22063,8791,142282
22065,204,10017
22067,381,25629
22069,1490,37515
22071,31017,383997
22073,5658,160368
22075,2236,23515
22077,625,20758
22079,5090,130023
22081,188,7620
22083,400,20043
22085,710,22155
22087,6010,43764
22089,4141,52549
22091,216,10920
22093,343,20192
22095,3291,42477
22097,2178,82540
22099,1679,51767
22101,4524,49406
22103,20844,264570
22105,7242,133157
22107,67,4147
22109,7358,109580
22111,1135,21107
22113,2296,57359
22115,4175,48750
22117,1410,45463
22119,688,36967
22121,1244,27199
22123,325,9751
22125,651,15310
22127,1023,13755
23001,2222,111139
23003,912,67105
23005,8011,303069
23007,407,29456
23009,969,55478
23011,2552,123642
23013,672,40607
23015,395,35237
23017,865,57777
23019,2715,152199
23021,261,16800
23023,649,36699
23025,656,50477
23027,559,39607
23029,667,31095
23031,4097,211972
24001,1149,68106
24003,56796,588261
24005,61492,854535
24009,4202,92783
24011,2820,33293
24013,7745,172891
24015,5450,103725
24017,11677,166617
24019,1777,32531
24021,32119,271717
24023,321,28806
24025,14007,260924
24027,27362,332317
24029,1061,19198
24031,217409,1062061
24033,205463,967201
24035,2538,49874
24037,6545,113777
24039,1075,24620
24041,3352,37526
24043,10289,154705
24045,7091,103588
24047,2078,52460
24510,45927,585708
25001,7908,228996
25003,7064,129026
25005,54751,579200
25007,534,20600
25009,182847,809829
25011,3592,71029
25013,121319,465825
25015,11622,162308
25017,143245,1632002
25019,2312,14255
25021,38110,725981
25023,23952,530819
25025,178527,797936
25027,111902,862111
26001,122,10167
26003,115,8842
26005,9389,120502
26007,417,28907
26009,459,23431
26011,270,15002
26013,102,8158
26015,2142,62423
26017,5930,103856
26019,391,17970
26021,9210,154316
26023,2583,44862
26025,7426,134310
26027,2161,51589
26029,425,26054
26031,341,25579
26033,757,36785
26035,621,30856
26037,3940,79128
26039,292,12988
26041,543,36903
26043,440,25947
26045,6527,109175
26047,592,34112
26049,16259,406211
26051,482,25386
26053,222,14380
26055,3010,95238
26057,3153,41761
26059,1172,45746
26061,669,37361
26063,840,31407
26065,24422,284900
26067,3364,66804
26069,610,25237
26071,206,11631
26073,3006,64394
26075,6184,160366
26077,14776,261670
26079,355,17939
26081,75228,657974
26083,27,2046
26085,1195,12096
26087,4244,88619
26089,917,22301
26091,8494,99423
26093,5503,193866
26095,74,5339
26097,167,10834
26099,26214,881217
26101,830,25032
26103,1344,66017
26105,1290,29052
26107,1026,39714
26109,486,23502
26111,2659,83494
26113,499,15052
26115,6231,154809
26117,2697,66614
26119,125,9153
26121,10283,175824
26123,2969,49978
26125,60838,1274395
26127,4108,26659
26129,437,20770
26131,68,5816
26133,400,22891
26135,154,8219
26137,446,25091
26139,29382,296200
26141,154,12982
26143,434,23459
26145,16904,190124
26147,5505,160383
26149,5427,60939
26151,1674,40611
26153,96,8047
26155,2024,68094
26157,1808,53323
26159,8966,75587
26161,20731,372258
26163,117649,1793561
26165,790,33673
27001,220,15697
27003,19506,363887
27005,575,35183
27007,1108,46228
27009,1216,41379
27011,140,5166
27013,3221,69112
27015,1171,25912
27017,612,36207
27019,5308,106922
27021,426,30066
27023,1243,12598
27025,1451,56621
27027,3011,65318
27029,101,8524
27031,123,5600
27033,1115,11517
27035,912,66123
27037,36305,439882
27039,1057,20867
27041,815,39006
